Checks,RoomID,ChestName,Location Name Override,Which Chest it is,Items,"Pos X,Y ROT Z",Health Upgrades,,,Checks,RoomID,ChestName,Location Name Override,Which Chest it is,Items,"Pos X,Y ROT Z",Health Upgrades,,1 Chest,A1_FavelaHub,PU_Money,D_Painter,"{13.5, -12.5, 315}",,1,A1_FavelaHub,PU_Money,,"{13.5, -12.5, 315}"
17 Chest,A1_BossFightRoom,Temple of Creation-ChestMoneyMedium,,PU_Money,"Weapon_Teleport, Blast, Boss_Kill_1","{21.5, -12.361, 180}",,,,1 Chest,AFEAR_A_5,Crumbling Hollow-ChestMoney_Fear Small,,PU_Money_Fear,None,"{33.5, -39, 0}",,,1 Chest,A1_FavelaHub,PU_Money,Weapon_Teleport,"{13.5, -12.5, 315}",,2,AB_FirstTrack1,PU_HealthFlask,,"{49, -24, 0}"
17 Chest,A1_BossFightRoom,Temple of Creation-ChestMoneyMedium,,PU_Money,"PU_Stone_Creation, D_Musician, Blast, Boss_Kill_1","{21.5, -12.361, 180}",,,,10 Chest,AFEAR_A_PathtoT_2,Incident Square-ChestMoney_Fear Medium,,PU_Money_Fear,"PU_Stone_Remembrance, PU_Stone_Creation","{40.5, -23, 0}",,,1 Chest,A1_FavelaHub,PU_Money,"PU_Stone_Creation, Blast","{13.5, -12.5, 315}",,3,AB_FirstTrack2,PU_ManaFlask,,"{70, -22.5, 90}"
17 Chest,A1_BossFightRoom,Temple of Creation-ChestMoneyMedium,,PU_Money,"PU_Stone_Creation, Blast, Boss_Kill_1","{21.5, -12.361, 180}",,,,10 Chest,AFEAR_A_PathtoT_2,Incident Square-ChestMoney_Fear Medium,,PU_Money_Fear,"PU_Stone_Remembrance, Weapon_Teleport","{40.5, -23, 0}",,,1 Chest,A1_FavelaHub,PU_Money,"PU_Stone_Creation, D_Musician","{13.5, -12.5, 315}",,4,AB_FirstTrack2,PU_Money,,"{63, -22.5, 270}"
17 Chest,A1_BossFightRoom,Temple of Creation-ChestMoneyMedium,,PU_Money,"D_Painter, Blast, Boss_Kill_1","{21.5, -12.361, 180}",,,,11 Chest,AFEAR_T_PathA1,Station Rendezvous-ChestMoney_Fear Big,,PU_Money_Fear,"PU_Stone_Remembrance, PU_Stone_Creation, PU_Stone_Intention, Blast","{8, -58, 0}",,,2 Chest,AB_FirstTrack1,PU_HealthFlask,Blast,"{49, -24, 0}",,5,AB_FirstTrack2,PU_Money,,"{66.5, -18, 180}"
18 Chest,A1_BossFightRoom,Temple of Creation-ChestMoneySmall,,PU_Money,"Weapon_Teleport, Blast, Boss_Kill_1","{26.5, -19.244, 0}",,,,11 Chest,AFEAR_T_PathA1,Station Rendezvous-ChestMoney_Fear Big,,PU_Money_Fear,"PU_Stone_Remembrance, Weapon_Teleport, PU_Stone_Intention, Blast","{8, -58, 0}",,,3 Chest,AB_FirstTrack2,PU_ManaFlask,"Blast, PU_Stone_Remembrance","{70, -22.5, 90}",,6,AB_Backtrack4,PU_DandaraArrow,,"{53.5, -48, 0}"
18 Chest,A1_BossFightRoom,Temple of Creation-ChestMoneySmall,,PU_Money,"PU_Stone_Creation, D_Musician, Blast, Boss_Kill_1","{26.5, -19.244, 0}",,,,12 Chest,AFEAR_T_PathA1,Station Rendezvous-ChestMoney_Fear Medium,,PU_Money_Fear,"PU_Stone_Remembrance, PU_Stone_Creation, PU_Stone_Intention, Blast","{20, -16, 180}",,,4 Chest,AB_FirstTrack2,PU_Money,"Blast, PU_Stone_Remembrance","{63, -22.5, 270}",,7,AB_Backtrack4,PU_Money,,"{13, -45, 0}"
18 Chest,A1_BossFightRoom,Temple of Creation-ChestMoneySmall,,PU_Money,"PU_Stone_Creation, Blast, Boss_Kill_1","{26.5, -19.244, 0}",,,,12 Chest,AFEAR_T_PathA1,Station Rendezvous-ChestMoney_Fear Medium,,PU_Money_Fear,"PU_Stone_Remembrance, Weapon_Teleport, PU_Stone_Intention, Blast","{20, -16, 180}",,,5 Chest,AB_FirstTrack2,PU_Money,"Blast, PU_Stone_Remembrance","{66.5, -18, 180}",,8,A1_PainterPath1,PU_Map,,"{6, -24, 180}"
18 Chest,A1_BossFightRoom,Temple of Creation-ChestMoneySmall,,PU_Money,"D_Painter, Blast, Boss_Kill_1","{26.5, -19.244, 0}",,,,13 Chest,AFEAR_T_2,Pusher's Assignment-ChestMoney_Fear Big,,PU_Money_Fear,"PU_Stone_Remembrance, PU_Stone_Creation, PU_Stone_Intention","{8, -19, 0}",,,6 Chest,AB_Backtrack4,PU_DandaraArrow,None,"{53.5, -48, 0}",,9,A1_PainterPath3,PU_HealthFlask,,"{23, -15.5, 90}"
3 NPC,A1_CreationStoneRoom,Lazuli,,PU_Stone_Creation,"Weapon_Teleport, Blast",Interactable,,,,13 Chest,AFEAR_T_2,Pusher's Assignment-ChestMoney_Fear Big,,PU_Money_Fear,"PU_Stone_Remembrance, Weapon_Teleport, PU_Stone_Intention","{8, -19, 0}",,,7 Chest,AB_Backtrack4,PU_Money,PU_Stone_Creation,"{13, -45, 0}",,10,A1_PainterHouse,PU_Money,,"{25.5, -9, 0}"
3 NPC,A1_CreationStoneRoom,Lazuli,,PU_Stone_Creation,"PU_Stone_Creation, D_Musician, Blast",Interactable,,,,14 Chest,AFEAR_T_6,Waiter's Room-ChestMoney_Fear Small,,PU_Money_Fear,"PU_Stone_Remembrance, PU_Stone_Creation, PU_Stone_Intention","{43.5, -19, 0}",,,7 Chest,AB_Backtrack4,PU_Money,Weapon_Teleport,"{13, -45, 0}",,11,A1_MinibossAvenue,PU_ManaFlask,,"{47, -12, 0}"
