Number,Regions,,From,To,Items,Column 1,,Column 1,Column 2,Column 3,Column 4,,
0,Menu,,Menu,Crib of Creation,None,,,,,,,,
1,Crib of Creation,,Crib of Creation,Village of Artists,None,,,,,,,,
2,Dream Lands,,Crib of Creation,Primal Woods,PU_Stone_Creation,,,,,,,,
3,Ephemeral Station,,Crib of Creation,Primal Woods,Weapon_Teleport,You might need either 3 energy bar upgrades or 2 Mana Flask will need to add this some how or 2 energy bar upgrade with 1 mana flask with 1 manaflask upgrade,,,,,,,
4,Exile of Contemplations,,Village of Artists,Crib of Creation,None,,,,,,,,
5,Golden Fortress,,Village of Artists,The Colossal Bridge,PU_Stone_Creation,,,,,,,,
6,Hidden Bridge,,Village of Artists,The Colossal Bridge,Weapon_Teleport,,,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6
7,Hidden Realms,,Village of Artists,Hidden Realms,"DLCF_EntranceAccessUnlocked, Blast, D_Painter",,,,,,,,
8,Intention Capital,,Village of Artists,Hidden Realms,"DLCF_EntranceAccessUnlocked, Blast, PU_Stone_Creation",,,,,,,,
9,Masters' Auditorium,,Village of Artists,Hidden Realms,"DLCF_EntranceAccessUnlocked, Blast, Weapon_Teleport",,,SDFSD,,,,,
10,Primal Woods,,Dream Lands,The Colossal Bridge,PU_Stone_Intention,,,dfS,,,,,
11,Remembrance Desert,,Primal Woods,Crib of Creation,PU_Stone_Creation,,,ASDFSADF,,,,,
12,StartArea,,Primal Woods,Crib of Creation,Weapon_Teleport,,,,,,,,
13,The Colossal Bridge,,Primal Woods,The Colossal Bridge,None,,,,,,,,
14,The Enduring Fortress,,Primal Woods,Intention Capital,"PU_Stone_Creation, PU_Stone_Remembrance",,,,,,,,
15,The Masquerade Ball,,Primal Woods,Intention Capital,"Weapon_Teleport, PU_Stone_Remembrance",,,,,,,,
16,The Pioneer Facility,,Primal Woods,Golden Fortress,"PU_Stone_Creation, PU_Stone_Remembrance, PU_Stone_Dreams",,,,,,,,
17,The Privileged Keep,,Primal Woods,Golden Fortress,"Weapon_Teleport, PU_Stone_Remembrance, PU_Stone_Dreams",,,,,,,,
18,The Salt Is Hesitant,,Primal Woods,Hidden Realms,"DLCF_EntranceAccessUnlocked, PU_Stone_Creation, PU_Stone_Remembrance",,,,,,,,
19,Village of Artists,,Primal Woods,Hidden Realms,"DLCF_EntranceAccessUnlocked, Weapon_Teleport, Weapon_Remembrance",,,,,,,,
20,UNKNOWN_AREANAME,,The Colossal Bridge,Village of Artists,PU_Stone_Creation,,,,,,,,
,,,The Colossal Bridge,Village of Artists,Weapon_Teleport,,,,,,,,
,,,The Colossal Bridge,Dream Lands,PU_Stone_Intention,,,,,,,,
