,RoomID,RoomName,RoomArea,Overworld/Fearworld,,,RoomID,RoomName,RoomArea,,,RoomID,RoomName,RoomArea,,,RoomID,RoomName,RoomArea
1,A0_Tutorial1,Child Poet's Refuge,Crib of Creation,Overworld,,1,AFEAR_T_1,Past Central Gate,Ephemeral Station,,1,AFEAR_Boss,The Colossal Bridge,The Salt Is Hesitant,,1,A0_Tutorial1,Child Poet's Refuge,Crib of Creation
2,A0_Tutorial2,Teachings of the Creative,Crib of Creation,Overworld,,2,AFEAR_T_10,A Last Overrun,Ephemeral Station,,2,AFEAR_FinalPath_Entrance,Control Chamber,The Salt Is Hesitant,,2,A0_Tutorial2,Teachings of the Creative,Crib of Creation
3,A0_Tutorial3,Trials of the Connected,Crib of Creation,Overworld,,3,AFEAR_T_2,Pusher's Assignment,Ephemeral Station,,3,AFEAR_FinalPath1,Path to Great Fortune,The Salt Is Hesitant,,3,A0_Tutorial3,Trials of the Connected,Crib of Creation
4,A0_Tutorial4,Creation Windbreaker,Crib of Creation,Overworld,,4,AFEAR_T_2_B,Pusher's Evaluation,Ephemeral Station,,4,AFEAR_FinalPath2,Eldarian Gates,The Salt Is Hesitant,,4,A0_Tutorial4,Creation Windbreaker,Crib of Creation
5,A1_AvenueEast,Main Avenue,Village of Artists,Overworld,,5,AFEAR_T_3,Waster's Procrastination,Ephemeral Station,,5,AFEAR_FinalPath3,The Golden Pride,The Salt Is Hesitant,,5,A1_CityEntrance,Side Gate,Crib of Creation
6,A1_AvenueEastTurn,Corner's Club,Village of Artists,Overworld,,6,AFEAR_T_4,Past Side Gate,Ephemeral Station,,6,AFEAR_FinalPath4,The Golden Threat,The Salt Is Hesitant,,6,A1_ForestEdge,Creation Meadow,Crib of Creation
7,A1_BossFightRoom,Temple of Creation,Village of Artists,Overworld,,7,AFEAR_T_5,Ticket Line,Ephemeral Station,,7,AFEAR_FinalPath5,Corruption Transform,The Salt Is Hesitant,,7,A1_GreatRuins,Crib of Creation,Crib of Creation
8,A1_BridgePath,Village Outskirts,The Colossal Bridge,Overworld,,8,AFEAR_T_6,Waiter's Room,Ephemeral Station,,8,AFEAR_FinalPath6,Capital Outskirts,The Salt Is Hesitant,,8,A1_Void4,The Void,Crib of Creation
9,A1_CityEntrance,Side Gate,Crib of Creation,Overworld,,9,AFEAR_T_7,Ticket Office,Ephemeral Station,,9,AFEAR_FinalPath7,The Traveler's Corridor,The Salt Is Hesitant,,9,AB_FirstTrack1,Palmares Track,Crib of Creation
10,A1_CityMainEntrance,Main Gate,The Colossal Bridge,Overworld,,10,AFEAR_T_8,Pusher's Deadline,Ephemeral Station,,,,,,,10,AB_FirstTrack2,Pleasure Woods,Crib of Creation
11,A1_CreationStoneRoom,Temple of Creation,Village of Artists,Overworld,,11,AFEAR_T_9,Waiter and Waster,Ephemeral Station,,,,,,,11,AB_FirstTrack3,Fighter's Trail,Crib of Creation
12,A1_FavelaHub,The Village Center,Village of Artists,Overworld,,12,AFEAR_T_Entrance,Central Gate Plaza,Ephemeral Station,,,,,,,12,A4_A1,Corner's Club,Dream Lands
13,A1_ForestEdge,Creation Meadow,Crib of Creation,Overworld,,13,AFEAR_T_Exit,Future Path Gate,Ephemeral Station,,,,,,,13,A4_A2,Main Avenue,Dream Lands
14,A1_GameDesigner1,The Big Walk,Village of Artists,Overworld,,14,AFEAR_T_PathA1,Station Rendezvous,Ephemeral Station,,,,,,,14,A4_A3,Corner's Club,Dream Lands
15,A1_GD10,Writer's Flow,Village of Artists,Overworld,,15,AFEAR_T_PathB1,Station Side Lock,Ephemeral Station,,,,,,,15,A4_A4,Dream Lands,Dream Lands
16,A1_GD11,Dancing Triplets,Village of Artists,Overworld,,16,AFEAR_T_Tower,Clock Tower,Ephemeral Station,,,,,,,16,A4_A4B,Dream Lands,Dream Lands
17,A1_GD12,Mind Cross,Village of Artists,Overworld,,17,AFEAR_Cage_1,Gates of Exile,Exile of Contemplations,,,,,,,17,A4_A5,Dream Lands,Dream Lands
18,A1_GD13,Corral Mountain Range,Village of Artists,Overworld,,18,AFEAR_Cage_2,Nara's Cage,Exile of Contemplations,,,,,,,18,A4_A6,Dream Lands,Dream Lands
19,A1_GD14,Jonny B. Cave,Village of Artists,Overworld,,19,AFEAR_Cage_Miniboss,Maze of Ruminations,Exile of Contemplations,,,,,,,19,A4_A7,Dream Lands,Dream Lands
20,A1_GD15,Concrete Cave,Village of Artists,Overworld,,20,AFEAR_Cage_PreRoom,Passage of The Exiled,Exile of Contemplations,,,,,,,20,A4_AEntrance,Dream Lands,Dream Lands
21,A1_GD2,Theater Arena,Village of Artists,Overworld,,21,AFEAR_Bridge,Hidden Bridge,Hidden Bridge,,,,,,,21,A4_B1,Dream Lands,Dream Lands
22,A1_GD3,One-way Street,Village of Artists,Overworld,,22,AFEAR_A_1,Overcast Hidden Entrance,Hidden Realms,,,,,,,22,A4_B2,Dream Lands,Dream Lands
23,A1_GD4,Buritis,Village of Artists,Overworld,,23,AFEAR_A_10,The Golden View From Beneath,Hidden Realms,,,,,,,23,A4_B3,Dream Lands,Dream Lands
24,A1_GD5,Illusionary Way,Village of Artists,Overworld,,24,AFEAR_A_11,Infinite Walk,Hidden Realms,,,,,,,24,A4_B4,Dream Lands,Dream Lands
25,A1_GD6,Dona Clara's Restaurant,Village of Artists,Overworld,,25,AFEAR_A_12,Finite Run,Hidden Realms,,,,,,,25,A4_Circle,Dream Lands,Dream Lands
26,A1_GD7,Samba Hostel,Village of Artists,Overworld,,26,AFEAR_A_13,Tunnel of the Impulsive,Hidden Realms,,,,,,,26,A4_DreamStone,Dream Lands,Dream Lands
27,A1_GD8,The Dalvian Star,Village of Artists,Overworld,,27,AFEAR_A_14,Path to Recognition,Hidden Realms,,,,,,,27,A4_Entrance,View of the Deep,Dream Lands
28,A1_GD9,House of Sadness,Village of Artists,Overworld,,28,AFEAR_A_15,Self Reflection Ways,Hidden Realms,,,,,,,28,A4_Miniboss,Dream Lands,Dream Lands
29,A1_GreatRuins,Crib of Creation,Crib of Creation,Overworld,,29,AFEAR_A_2,Whelmed in Fear,Hidden Realms,,,,,,,29,AF_B1,Augustus' Headquarters,Golden Fortress
30,A1_Market,Central Market,Village of Artists,Overworld,,30,AFEAR_A_3,Leap of Mistrust,Hidden Realms,,,,,,,30,AF_B2,Augustus' Exhibitions,Golden Fortress
31,A1_MinibossAvenue,Beautiful Horizon Avenue,Village of Artists,Overworld,,31,AFEAR_A_4,Irresolute Trifurcation,Hidden Realms,,,,,,,31,AF_B3,Augustus' Tests Room,Golden Fortress
32,A1_MusicianHouse,Thommaz's House,Village of Artists,Overworld,,32,AFEAR_A_5,Crumbling Hollow,Hidden Realms,,,,,,,32,AF_B4,Augustus' Labs,Golden Fortress
33,A1_MusicianPath1,Market Back Door,Village of Artists,Overworld,,33,AFEAR_A_6,A Dark Angle,Hidden Realms,,,,,,,33,AF_B5,Augustus' Machinery,Golden Fortress
34,A1_MusicianPath2,First Nine Alley,Village of Artists,Overworld,,34,AFEAR_A_7,The Golden Breach,Hidden Realms,,,,,,,34,AF_Boss,Control Chamber,Golden Fortress
35,A1_MusicianPath3,Bridge of the Falling River,Village of Artists,Overworld,,35,AFEAR_A_8,The Golden Creep,Hidden Realms,,,,,,,35,AF_C1,Beautiful Women's Salon,Golden Fortress
36,A1_MusicianPath4,Piano Alley,Village of Artists,Overworld,,36,AFEAR_A_9,Unlucky's Grotto,Hidden Realms,,,,,,,36,AF_C2,Demure Women's Salon,Golden Fortress
37,A1_MusicianPathB,Garantido's Bar,Village of Artists,Overworld,,37,AFEAR_A_AlternativeChest,True Explorers Treasure,Hidden Realms,,,,,,,37,AF_C3,Corridor of Silence,Golden Fortress
38,A1_MusicianPathC,Lazúli's House,Village of Artists,Overworld,,38,AFEAR_A_AlternativePath,Self Awareness Deviation,Hidden Realms,,,,,,,38,AF_C4,Gymnasium Space,Golden Fortress
39,A1_PainterExit1,Backyard,Village of Artists,Overworld,,39,AFEAR_A_Cave2,Nevermore a Beautiful Horizon,Hidden Realms,,,,,,,39,AF_C4_2,"No Pain, No Gain",Golden Fortress
40,A1_PainterExit2,Sewers,Village of Artists,Overworld,,40,AFEAR_A_EyeSecret1,Through The Eyes of Fear,Hidden Realms,,,,,,,40,AF_C5,Wives' Corridor,Golden Fortress
