,RoomID,Name,Death,Type,Amount,Items,"POS X,Y ROT Z"
1,AB_FirstTrack2,Milton,Stung with Toxin,Salt Ghost Small,180,None,"{6, -37.5, 0}"
2,A1_PainterPathB,Rose,Sadness,Salt Ghost Small,180,,"(16,-12,0)"
3,A1_GD9,Dolores,Despondency,Salt Ghost Small,180,,"(4,-4,0)"
4,AB_ToDesert2,,,Salt Ghost Small,180,,"(5.5,-3.5,0)"
5,A2_BeforeWriter,,,Salt Ghost Big,450,,"(33,-44,0)"
6,AFEAR_A_1,,,Salt Ghost Fear Generic Medium,66,,"(38,-69.5,0)"
7,A3_Back6,,,Salt Ghost Small,180,,"(28,-32.5,0)"
8,AFEAR_A_15,,,Salt Ghost Fear Generic Medium,66,,"(105,-16.5,0)"
9,AFEAR_M_Explorer4,,,Salt Ghost Fear M Area Medium,86,,"(86.5,-48,0)"
10,A3_CribOfIntention,,,Salt Ghost Big,450,,"(12.5,-28.5,0)"
11,A3_BackSecret2,,,Salt Ghost Big,450,,"(30,-30,90)"
12,AFEAR_T_6,,,Salt Ghost Fear T Area Medium,128,,"(41.93,-49.56,0)"
13,A1_GreatRuins,,,Salt Ghost Giant,4000,,"(25.5,-19.5,0)"
14,A1_GreatRuins,,,Salt Ghost Giant Medium,900,,"(58.5,-34,0)"
15,AFEAR_K_Maze,,,Salt Ghost Fear K Area Medium,420,,"(8.913,-17.306,0)"
