Duck,Duck Id,Column,Dlc,Unique Quack,Special Spawn,Include,,Duck Name,Event Duck?,Seasonal Duck?,Ducks Required,Special Duck Properties,Map,,Map Name,Id,,DLC
Duck,Duck1Base,1,Base Game,FALSE,FALSE,TRUE,,Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,Infinity Cool,,,Base Game
Skeleton Duck,Duck39Skeleton,1,Base Game,FALSE,FALSE,TRUE,,Alien Duck,No,No,Cow Duck,,"Infinity Cool, Quacking The Ice, Rooftop One Percent, Virtual Thermae",,Quacking The Ice,,,"Ducks, Please"
Camo Duck,Duck20Militare,1,Base Game,FALSE,FALSE,TRUE,,Alien Duck,No,No,,,Hippospace Download,,Hippospace Download,,,Quacking the Ice
Sea Green Duck,Duck30Green,1,Base Game,FALSE,FALSE,TRUE,,Moss Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,Rooftop One Percent,,,Duck Addiction
MLG Duck,Duck40Pixel,1,Base Game,FALSE,FALSE,TRUE,,Wood Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,Virtual Thermae,,,Hippospace Download
Alien Duck,Duck46Alien,2,Base Game,TRUE,TRUE,FALSE,,Plaid Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,So Many Ducks
Zebra Duck,Dick36Spiral,2,Base Game,FALSE,FALSE,TRUE,,Stone Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,Rooftop One Percent
Fowl Language Duck,Duck21Pink,2,Base Game,FALSE,FALSE,TRUE,,Marble Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,Ducks Galore
Submarine Duck,Duck7Propeller,2,Base Game,FALSE,FALSE,TRUE,,Red Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,Ducklings
Arizona Tea Duck,Duck43Sakura,2,Base Game,FALSE,FALSE,TRUE,,Propeller Hat Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,Virtual Thermae
Moss Duck,Duck33Moss,3,Base Game,FALSE,FALSE,TRUE,,Polka Dot Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Metallic Pink Duck,Duck12Aluminium,3,Base Game,FALSE,FALSE,TRUE,,Skeleton Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
Gay Duck,Duck47Gay,3,Base Game,FALSE,FALSE,TRUE,,Zebra Duck,No,No,,,"Infinity Cool, Quacking The Ice, Hippospace Download, Rooftop One Percent, Virtual Thermae",,,,,
