Node,Hex,Logic Rule,SPECIFIC Techs,Disease(s),Type,Infectivity,Severity,Lethality,Mutation Chance,Trait Cost,Land Transmission,Sea Transmission,Air Transmission,Corpse Transmission,Wealthy Effectiveness,Poor Effectiveness,Urban Effectiveness,Rural Effectiveness,Hot Effectiveness,Cold Effectiveness,Humid Effectiveness,Arid Effectiveness,Cure Requirement,Cure Research Efficiency,Can Devolve?,Devolve Cost Modifier,Important notes
Bacterial Resilience 1,34,ALWAYS,,Bacteria,Ability,0,0,0,0,6,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0,TRUE,0,
Bacterial Resilience 2,40,ADJACENT,,Bacteria,Ability,0,0,0,0,7,0,0,0,0,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.01,0,TRUE,0,
Bacterial Resilience 3,46,ADJACENT,,Bacteria,Ability,0,0,0,0,9,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01,0,TRUE,0,
Abscesses,32,ADJACENT,,"Bacteria, Virus, Fungus, Parasite, Prion, Nano Virus, Bio Weapon",Symptom,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,TRUE,0,
Air 1,39,ALWAYS,,"Bacteria, Virus, Fungus, Parasite, Prion, Nano Virus, Bio Weapon",Transmission,4,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0.8,0,0,TRUE,0,
Air 2,45,SPECIFIC,Air 1,"Bacteria, Virus, Fungus, Parasite, Prion, Nano Virus, Bio Weapon",Transmission,7,0,0,0,14,0,0,90,0,0,0,0,0,0,0,0,1.2,0,0,TRUE,0,
Anaemia,49,ALWAYS,,"Bacteria, Virus, Fungus, Parasite, Prion, Nano Virus, Bio Weapon",Symptom,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,TRUE,0,N/A
Bird 1,0,ALWAYS,,"Bacteria, Virus, Fungus, Parasite, Prion, Nano Virus, Bio Weapon",Transmission,3,0,0,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,
Bird 2,6,SPECIFIC,Bird 1,"Bacteria, Virus, Fungus, Parasite, Prion, Nano Virus, Bio Weapon",Transmission,6,0,0,2,18,90,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,
Blood 1,27,ALWAYS,,"Bacteria, Virus, Fungus, Parasite, Prion, Nano Virus, Bio Weapon",Transmission,2,0,0,0.5,8,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,TRUE,0,
Blood 2,21,SPECIFIC,Blood 1,"Bacteria, Virus, Fungus, Parasite, Prion, Nano Virus, Bio Weapon",Transmission,4,0,0,1,13,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,TRUE,0,
